;	Simulated Data
;	t0	2010.35
s2	;	name	of	the	star
;	mK	13.95
;	spectral	type	B2
;	square	10.
;	facSchwarzschild	0	0
;	facSpecialRelativity	0	0
;	facGravitationalRedshift	0	0
;	facRetardation	0	0
;	useEllipse	FALSE
;	omegaSys	0	0
;	Dec2	0	0
;	Ra2	0	0
;	vDec2	0	0
;	vRa2	0	0
1992.364	-0.00888249291162	0.00001	0.177704088022	0.00001	;	simulated NACO
1992.366	-0.00890542286187	0.00001	0.177710939298	0.00001	;	simulated NACO
1992.368	-0.00892835189313	0.00001	0.177717772236	0.00001	;	simulated NACO
1992.37	-0.00895128000326	0.00001	0.177724586839	0.00001	;	simulated NACO
1992.372	-0.00897420719014	0.00001	0.177731383111	0.00001	;	simulated NACO
1992.374	-0.00899713345163	0.00001	0.177738161056	0.00001	;	simulated NACO
1992.376	-0.00902005878559	0.00001	0.177744920678	0.00001	;	simulated NACO
1992.378	-0.00904298318991	0.00001	0.177751661981	0.00001	;	simulated NACO
1992.38	-0.00906590666244	0.00001	0.177758384968	0.00001	;	simulated NACO
1992.382	-0.00908882920107	0.00001	0.177765089644	0.00001	;	simulated NACO
1992.384	-0.00911175080365	0.00001	0.177771776012	0.00001	;	simulated NACO
1992.386	-0.00913467146808	0.00001	0.177778444076	0.00001	;	simulated NACO
1992.388	-0.00915759119221	0.00001	0.177785093841	0.00001	;	simulated NACO
1992.39	-0.00918050997394	0.00001	0.177791725309	0.00001	;	simulated NACO
1992.392	-0.00920342781112	0.00001	0.177798338486	0.00001	;	simulated NACO
1992.394	-0.00922634470165	0.00001	0.177804933374	0.00001	;	simulated NACO
1992.396	-0.00924926064339	0.00001	0.177811509978	0.00001	;	simulated NACO
1992.398	-0.00927217563424	0.00001	0.177818068301	0.00001	;	simulated NACO
1992.4	-0.00929508967206	0.00001	0.177824608348	0.00001	;	simulated NACO
1992.402	-0.00931800275474	0.00001	0.177831130122	0.00001	;	simulated NACO
1992.404	-0.00934091488015	0.00001	0.177837633626	0.00001	;	simulated NACO
1992.406	-0.00936382604619	0.00001	0.177844118866	0.00001	;	simulated NACO
1992.408	-0.00938673625074	0.00001	0.177850585844	0.00001	;	simulated NACO
1992.41	-0.00940964549169	0.00001	0.177857034565	0.00001	;	simulated NACO
1992.412	-0.0094325537669	0.00001	0.177863465032	0.00001	;	simulated NACO
1992.414	-0.00945546107428	0.00001	0.177869877249	0.00001	;	simulated NACO
1992.416	-0.00947836741171	0.00001	0.177876271221	0.00001	;	simulated NACO
1992.418	-0.00950127277708	0.00001	0.17788264695	0.00001	;	simulated NACO
1992.42	-0.00952417716828	0.00001	0.17788900444	0.00001	;	simulated NACO
1992.422	-0.0095470805832	0.00001	0.177895343696	0.00001	;	simulated NACO
1992.424	-0.00956998301973	0.00001	0.177901664721	0.00001	;	simulated NACO
1992.426	-0.00959288447576	0.00001	0.177907967519	0.00001	;	simulated NACO
1992.428	-0.00961578494918	0.00001	0.177914252094	0.00001	;	simulated NACO
1992.43	-0.00963868443789	0.00001	0.177920518449	0.00001	;	simulated NACO
1992.432	-0.00966158293978	0.00001	0.177926766589	0.00001	;	simulated NACO
1992.434	-0.00968448045275	0.00001	0.177932996517	0.00001	;	simulated NACO
1992.436	-0.0097073769747	0.00001	0.177939208237	0.00001	;	simulated NACO
1992.438	-0.00973027250352	0.00001	0.177945401752	0.00001	;	simulated NACO
1992.44	-0.00975316703711	0.00001	0.177951577067	0.00001	;	simulated NACO
1992.442	-0.00977606057336	0.00001	0.177957734185	0.00001	;	simulated NACO
1992.444	-0.00979895311019	0.00001	0.17796387311	0.00001	;	simulated NACO
1992.446	-0.00982184464548	0.00001	0.177969993845	0.00001	;	simulated NACO
1992.448	-0.00984473517715	0.00001	0.177976096395	0.00001	;	simulated NACO
1992.45	-0.00986762470309	0.00001	0.177982180763	0.00001	;	simulated NACO
1992.452	-0.00989051322121	0.00001	0.177988246953	0.00001	;	simulated NACO
1992.454	-0.00991340072941	0.00001	0.177994294969	0.00001	;	simulated NACO
1992.456	-0.00993628722559	0.00001	0.178000324814	0.00001	;	simulated NACO
1992.458	-0.00995917270767	0.00001	0.178006336493	0.00001	;	simulated NACO
1992.46	-0.00998205717355	0.00001	0.178012330008	0.00001	;	simulated NACO
1992.462	-0.0100049406211	0.00001	0.178018305363	0.00001	;	simulated NACO
1992.464	-0.0100278230483	0.00001	0.178024262563	0.00001	;	simulated NACO
1992.466	-0.0100507044531	0.00001	0.178030201611	0.00001	;	simulated NACO
1992.468	-0.0100735848332	0.00001	0.178036122511	0.00001	;	simulated NACO
1992.47	-0.0100964641868	0.00001	0.178042025266	0.00001	;	simulated NACO
1992.472	-0.0101193425115	0.00001	0.17804790988	0.00001	;	simulated NACO
1992.474	-0.0101422198055	0.00001	0.178053776357	0.00001	;	simulated NACO
1992.476	-0.0101650960665	0.00001	0.1780596247	0.00001	;	simulated NACO
1992.478	-0.0101879712926	0.00001	0.178065454914	0.00001	;	simulated NACO
1992.48	-0.0102108454815	0.00001	0.178071267001	0.00001	;	simulated NACO
1992.482	-0.0102337186313	0.00001	0.178077060966	0.00001	;	simulated NACO
1992.484	-0.0102565907398	0.00001	0.178082836812	0.00001	;	simulated NACO
1992.486	-0.010279461805	0.00001	0.178088594543	0.00001	;	simulated NACO
